symbol,date,open,high,low,close,volume,marketCap
STRK,"Oct 29, 2021",$51.93,$54.37,$51.28,$53.58,"$4,858,820","$161,182,527"
STRK,"Oct 28, 2021",$49.42,$53.28,$48.58,$51.91,"$3,463,816","$156,171,386"
STRK,"Oct 27, 2021",$53.63,$53.82,$47.54,$49.44,"$8,800,163","$148,745,911"
STRK,"Oct 26, 2021",$54.11,$54.40,$53.24,$53.67,"$3,851,272","$160,991,421"
STRK,"Oct 25, 2021",$55.33,$55.60,$52.67,$54.11,"$5,301,277","$162,305,904"
STRK,"Oct 24, 2021",$55.31,$56.40,$51.36,$55.32,"$9,942,499","$165,929,738"
STRK,"Oct 23, 2021",$53.39,$63.04,$53.39,$55.26,"$135,070,571","$165,759,512"
STRK,"Oct 22, 2021",$52.31,$58.05,$52.21,$53.49,"$26,322,617","$160,461,796"
STRK,"Oct 21, 2021",$53.97,$54.95,$52.13,$52.27,"$5,902,624","$156,798,827"
STRK,"Oct 20, 2021",$52.96,$55.32,$51.52,$53.78,"$5,054,275","$161,322,521"
STRK,"Oct 19, 2021",$51.84,$54.37,$50.84,$52.92,"$3,986,075","$158,726,930"
STRK,"Oct 18, 2021",$52.25,$52.25,$50.30,$51.80,"$3,741,451","$155,384,121"
STRK,"Oct 17, 2021",$52.83,$54.38,$50.92,$52.27,"$3,175,316","$156,785,392"
STRK,"Oct 16, 2021",$53.19,$54.77,$51.65,$52.79,"$5,073,226","$158,358,882"
STRK,"Oct 15, 2021",$56.54,$57.62,$52.10,$53.16,"$12,327,483","$159,448,459"
STRK,"Oct 14, 2021",$57.94,$57.94,$55.50,$56.64,"$10,613,538","$169,890,343"
STRK,"Oct 13, 2021",$54.55,$58.06,$53.20,$58.01,"$27,742,743","$174,021,024"
STRK,"Oct 12, 2021",$56.90,$69.84,$52.53,$54.78,"$88,668,817","$163,749,836"
STRK,"Oct 11, 2021",$58.40,$59.44,$54.73,$56.88,"$7,935,175","$170,006,083"
STRK,"Oct 10, 2021",$58.79,$62.56,$56.89,$58.37,"$38,623,748","$174,462,137"
STRK,"Oct 09, 2021",$63.74,$63.74,$57.40,$59.91,"$17,017,515","$179,079,987"
STRK,"Oct 08, 2021",$61.60,$65.18,$58.88,$63.64,"$34,358,665","$190,207,190"
STRK,"Oct 07, 2021",$59.99,$61.60,$57.42,$61.60,"$25,467,507","$184,120,915"
STRK,"Oct 06, 2021",$58.64,$59.94,$54.81,$59.94,"$26,396,570","$179,173,139"
STRK,"Oct 05, 2021",$55.20,$59.55,$54.42,$58.73,"$20,104,769","$175,535,797"
STRK,"Oct 04, 2021",$56.49,$58.36,$53.93,$55.13,"$30,324,492","$164,790,202"
STRK,"Oct 03, 2021",$57.77,$58.98,$54.96,$56.47,"$20,889,237","$168,783,123"
STRK,"Oct 02, 2021",$55.02,$63.96,$54.26,$57.79,"$139,209,403","$172,737,704"
STRK,"Oct 01, 2021",$50.96,$55.05,$49.00,$55.01,"$10,906,389","$164,437,590"
STRK,"Sep 30, 2021",$46.78,$51.32,$45.19,$51.04,"$11,839,479","$152,563,087"
STRK,"Sep 29, 2021",$44.96,$48.61,$44.22,$46.80,"$5,462,319","$139,886,849"
STRK,"Sep 28, 2021",$47.98,$48.90,$44.88,$44.89,"$4,719,249","$134,187,039"
STRK,"Sep 27, 2021",$48.22,$50.42,$47.64,$47.99,"$5,193,262","$143,436,938"
STRK,"Sep 26, 2021",$49.44,$51.23,$46.13,$48.20,"$3,917,943","$143,126,117"
STRK,"Sep 25, 2021",$49.28,$51.54,$47.03,$49.44,"$8,518,788","$146,807,886"
STRK,"Sep 24, 2021",$52.69,$53.95,$45.35,$49.29,"$9,948,778","$146,358,124"
STRK,"Sep 23, 2021",$51.24,$53.98,$49.09,$52.71,"$6,904,757","$156,513,954"
STRK,"Sep 22, 2021",$45.97,$53.59,$45.01,$51.20,"$8,214,686","$152,035,273"
STRK,"Sep 21, 2021",$49.04,$54.42,$45.53,$45.80,"$23,749,434","$135,984,730"
STRK,"Sep 20, 2021",$57.40,$62.16,$47.89,$49.06,"$19,921,657","$145,661,152"
STRK,"Sep 19, 2021",$60.21,$60.22,$56.90,$57.37,"$4,337,697","$170,360,481"
STRK,"Sep 18, 2021",$57.49,$60.27,$57.05,$60.27,"$5,421,699","$178,947,262"
STRK,"Sep 17, 2021",$60.18,$60.38,$57.19,$57.48,"$8,243,451","$170,672,937"
STRK,"Sep 16, 2021",$60.03,$62.06,$58.45,$60.24,"$12,244,773","$178,873,889"
STRK,"Sep 15, 2021",$59.41,$60.68,$57.57,$59.78,"$10,010,906","$177,501,180"
STRK,"Sep 14, 2021",$57.79,$61.26,$56.87,$60.88,"$8,185,997","$180,765,194"
STRK,"Sep 13, 2021",$60.91,$60.91,$55.27,$57.84,"$8,933,484","$171,747,892"
STRK,"Sep 12, 2021",$59.66,$61.26,$57.74,$60.96,"$8,977,030","$181,005,683"
STRK,"Sep 11, 2021",$59.11,$62.92,$57.24,$59.69,"$11,879,869","$177,236,640"
STRK,"Sep 10, 2021",$64.69,$64.69,$57.63,$59.07,"$17,087,777","$175,408,913"
STRK,"Sep 09, 2021",$59.18,$66.00,$57.72,$64.69,"$48,011,630","$192,095,377"
STRK,"Sep 08, 2021",$62.15,$62.87,$53.63,$59.61,"$35,350,399","$176,986,927"
STRK,"Sep 07, 2021",$70.95,$71.01,$55.68,$62.21,"$22,909,651","$184,721,337"
STRK,"Sep 06, 2021",$70.50,$72.78,$68.71,$70.90,"$34,362,044","$210,508,388"
STRK,"Sep 05, 2021",$70.41,$75.60,$66.00,$70.89,"$60,998,358","$210,497,130"
STRK,"Sep 04, 2021",$68.03,$70.33,$67.17,$70.33,"$39,846,468","$208,832,590"
STRK,"Sep 03, 2021",$66.68,$68.33,$64.95,$67.82,"$23,088,018","$201,386,633"
STRK,"Sep 02, 2021",$64.92,$68.75,$64.30,$66.49,"$55,770,473","$197,440,863"
STRK,"Sep 01, 2021",$64.37,$65.24,$61.95,$64.88,"$16,099,489","$192,635,060"
STRK,"Aug 31, 2021",$62.14,$65.93,$60.28,$64.31,"$35,929,326","$190,954,995"
STRK,"Aug 30, 2021",$64.49,$64.84,$61.34,$62.06,"$22,524,023","$184,205,974"
STRK,"Aug 29, 2021",$63.68,$64.80,$62.29,$64.39,"$15,214,056","$190,975,485"
STRK,"Aug 28, 2021",$66.42,$66.42,$62.98,$64.79,"$22,485,937","$192,163,233"
STRK,"Aug 27, 2021",$63.73,$66.23,$60.60,$66.10,"$40,459,139","$196,055,928"
STRK,"Aug 26, 2021",$63.59,$67.74,$60.59,$63.73,"$132,547,069","$188,998,953"
STRK,"Aug 25, 2021",$62.29,$65.71,$59.92,$63.59,"$27,554,044","$188,572,283"
STRK,"Aug 24, 2021",$67.87,$68.79,$62.01,$62.29,"$48,271,627","$184,650,673"
STRK,"Aug 23, 2021",$70.63,$74.53,$65.19,$67.49,"$181,569,499","$200,077,242"
STRK,"Aug 22, 2021",$59.71,$77.16,$58.63,$70.48,"$607,316,538","$208,924,479"
STRK,"Aug 21, 2021",$57.49,$63.71,$55.11,$59.36,"$116,391,403","$175,795,505"
STRK,"Aug 20, 2021",$54.26,$57.48,$53.05,$57.13,"$19,730,133","$169,143,969"
STRK,"Aug 19, 2021",$53.48,$54.35,$51.40,$54.28,"$10,270,040","$160,690,983"
STRK,"Aug 18, 2021",$53.65,$53.65,$50.66,$53.38,"$13,327,184","$157,996,974"
STRK,"Aug 17, 2021",$54.74,$55.48,$52.17,$53.66,"$21,832,800","$158,732,665"
STRK,"Aug 16, 2021",$55.67,$55.70,$54.01,$54.61,"$12,134,879","$161,504,614"
STRK,"Aug 15, 2021",$56.20,$56.20,$53.64,$55.70,"$14,871,112","$164,699,210"
STRK,"Aug 14, 2021",$55.06,$56.25,$53.04,$55.75,"$28,319,226","$164,822,398"
STRK,"Aug 13, 2021",$53.59,$55.20,$52.13,$55.12,"$18,306,157","$162,950,907"
STRK,"Aug 12, 2021",$55.20,$55.73,$51.10,$53.61,"$25,589,635","$158,452,253"
STRK,"Aug 11, 2021",$53.90,$56.70,$52.83,$55.12,"$38,908,804","$162,875,239"
STRK,"Aug 10, 2021",$53.30,$54.07,$51.95,$53.74,"$17,772,796","$158,763,361"
STRK,"Aug 09, 2021",$53.22,$54.73,$50.72,$53.36,"$26,330,563","$157,624,237"
STRK,"Aug 08, 2021",$52.53,$57.13,$51.56,$53.77,"$96,243,987","$158,799,320"
STRK,"Aug 07, 2021",$51.90,$52.93,$50.91,$52.62,"$24,784,342","$155,382,907"
STRK,"Aug 06, 2021",$51.37,$52.02,$49.05,$51.91,"$14,993,338","$153,241,065"
STRK,"Aug 05, 2021",$51.52,$51.52,$49.84,$51.23,"$17,984,152","$151,208,573"
STRK,"Aug 04, 2021",$49.01,$55.21,$47.46,$51.54,"$146,940,373","$152,091,671"
STRK,"Aug 03, 2021",$50.25,$50.25,$48.17,$48.98,"$12,447,080","$144,480,128"
STRK,"Aug 02, 2021",$47.88,$53.90,$47.19,$50.02,"$165,902,425","$146,928,327"
STRK,"Aug 01, 2021",$51.17,$51.17,$47.66,$47.89,"$14,828,817","$140,676,165"
STRK,"Jul 31, 2021",$50.93,$51.83,$49.25,$51.28,"$25,426,738","$150,591,787"
STRK,"Jul 30, 2021",$52.17,$52.17,$47.96,$51.03,"$37,810,244","$149,827,436"
STRK,"Jul 29, 2021",$55.78,$55.78,$50.70,$52.70,"$44,596,777","$154,717,931"
STRK,"Jul 28, 2021",$55.57,$63.48,$53.03,$55.74,"$182,063,401","$163,611,585"
