symbol,date,open,high,low,close,volume,marketCap
INEX,"Oct 22, 2021",$0.0003313,$0.0003374,$0.00003908,$0.0000397,$6,"$432,359"
INEX,"Oct 21, 2021",$0.00004156,$0.0003339,$0.00004032,$0.0003314,$0,"$3,608,893"
INEX,"Oct 20, 2021",$0.0003407,$0.000355,$0.0000412,$0.00004151,$0,"$452,036"
INEX,"Oct 19, 2021",$0.0003289,$0.0003416,$0.0003269,$0.0003407,$0,"$3,709,777"
INEX,"Oct 18, 2021",$0.000327,$0.0003324,$0.0003185,$0.0003289,$0,"$3,581,434"
INEX,"Oct 17, 2021",$0.0003236,$0.0003275,$0.0003141,$0.0003271,$0,"$3,562,057"
INEX,"Oct 16, 2021",$0.00003863,$0.0003253,$0.00003822,$0.0003236,$0,"$3,523,889"
INEX,"Oct 15, 2021",$0.0003055,$0.0003285,$0.00003834,$0.00003864,$12,"$420,815"
INEX,"Oct 14, 2021",$0.000305,$0.0003106,$0.0003036,$0.0003056,$0,"$3,328,100"
INEX,"Oct 13, 2021",$0.0002977,$0.0003064,$0.000289,$0.0003051,$0,"$3,322,445"
INEX,"Oct 12, 2021",$0.0003052,$0.0003057,$0.0002896,$0.0002978,$0,"$3,242,851"
INEX,"Oct 11, 2021",$0.000291,$0.0003067,$0.0002895,$0.000305,$0,"$3,321,782"
INEX,"Oct 10, 2021",$0.0002927,$0.0002998,$0.0002888,$0.0002912,$0,"$3,171,135"
INEX,"Oct 09, 2021",$0.0002877,$0.0002951,$0.0002864,$0.0002927,$0,"$3,187,241"
INEX,"Oct 08, 2021",$0.000287,$0.0002978,$0.0002862,$0.0002876,$0,"$3,131,758"
INEX,"Oct 07, 2021",$0.0002947,$0.0002947,$0.0002854,$0.000287,$0,"$3,124,961"
INEX,"Oct 06, 2021",$0.0002752,$0.0002958,$0.0002692,$0.0002949,$0,"$3,211,478"
INEX,"Oct 05, 2021",$0.0002625,$0.0002768,$0.0002622,$0.000275,$0,"$2,995,260"
INEX,"Oct 04, 2021",$0.0002581,$0.0002645,$0.0002516,$0.0002625,$0,"$2,858,131"
INEX,"Oct 03, 2021",$0.0002555,$0.0002631,$0.0002525,$0.0002581,$0,"$2,810,178"
INEX,"Oct 02, 2021",$0.0002571,$0.0002586,$0.0002536,$0.0002556,$0,"$2,783,699"
INEX,"Oct 01, 2021",$0.000234,$0.0002588,$0.0002315,$0.0002573,$0,"$2,801,508"
INEX,"Sep 30, 2021",$0.0002221,$0.0002357,$0.0002214,$0.0002339,$0,"$2,547,215"
INEX,"Sep 29, 2021",$0.0002192,$0.0002275,$0.0002181,$0.0002219,$0,"$2,416,670"
INEX,"Sep 28, 2021",$0.0002258,$0.0002287,$0.0002186,$0.0002189,$0,"$2,383,736"
INEX,"Sep 27, 2021",$0.0002314,$0.0002374,$0.0002256,$0.0002258,$0,"$2,459,434"
INEX,"Sep 26, 2021",$0.0002282,$0.0002352,$0.000218,$0.0002315,$0,"$2,521,025"
INEX,"Sep 25, 2021",$0.0002289,$0.0002298,$0.0002229,$0.0002282,$0,"$2,485,338"
INEX,"Sep 24, 2021",$0.0002403,$0.000241,$0.0002184,$0.0002289,$0,"$2,492,396"
INEX,"Sep 23, 2021",$0.0002333,$0.0002405,$0.0002307,$0.0002403,$0,"$2,616,642"
INEX,"Sep 22, 2021",$0.0002173,$0.0002353,$0.0002168,$0.0002333,$0,"$2,540,654"
INEX,"Sep 21, 2021",$0.000229,$0.0002335,$0.0002125,$0.0002165,$0,"$2,358,171"
INEX,"Sep 20, 2021",$0.0002529,$0.0002534,$0.0002277,$0.0002292,$0,"$2,496,085"
INEX,"Sep 19, 2021",$0.0002586,$0.0002588,$0.000251,$0.000253,$0,"$2,755,281"
INEX,"Sep 18, 2021",$0.0002533,$0.0002616,$0.0002523,$0.0002584,$0,"$2,813,803"
