symbol,date,open,high,low,close,volume,marketCap
HAMS,"Oct 22, 2021",$0.001789,$0.002048,$0.001495,$0.001626,$239,$0
HAMS,"Oct 21, 2021",$0.002097,$0.004057,$0.00151,$0.001789,$808,$0
HAMS,"Oct 20, 2021",$0.002116,$0.002725,$0.001535,$0.002097,$280,$0
HAMS,"Oct 19, 2021",$0.002361,$0.002591,$0.002001,$0.002116,$128,$0
HAMS,"Oct 18, 2021",$0.002201,$0.002452,$0.001333,$0.002361,$221,$0
HAMS,"Oct 17, 2021",$0.002455,$0.003438,$0.002089,$0.002201,$251,$0
HAMS,"Oct 16, 2021",$0.002463,$0.002574,$0.002372,$0.002455,$35,$0
HAMS,"Oct 15, 2021",$0.003291,$0.003291,$0.002463,$0.002463,$86,$0
HAMS,"Oct 14, 2021",$0.002623,$0.004977,$0.001713,$0.003291,$786,$0
HAMS,"Oct 13, 2021",$0.002974,$0.003054,$0.002622,$0.002623,$40,$0
HAMS,"Oct 12, 2021",$0.002783,$0.003442,$0.002782,$0.002974,$95,$0
HAMS,"Oct 11, 2021",$0.002998,$0.003178,$0.002739,$0.002783,$87,$0
HAMS,"Oct 10, 2021",$0.001935,$0.002998,$0.00147,$0.002998,$442,$0
HAMS,"Oct 09, 2021",$0.00183,$0.003035,$0.00183,$0.001935,$265,$0
HAMS,"Oct 08, 2021",$0.0022,$0.002707,$0.001547,$0.00183,$248,$0
HAMS,"Oct 07, 2021",$0.002388,$0.002696,$0.002061,$0.0022,$137,$0
HAMS,"Oct 06, 2021",$0.002864,$0.003613,$0.001891,$0.002388,$255,$0
HAMS,"Oct 05, 2021",$0.001294,$0.005107,$0.001293,$0.002864,"$3,263",$0
